iter	Passed	Remaining
414	3288	4635
415	3290	4619
416	3298	4611
417	3307	4604
418	3315	4597
419	3328	4595
420	3332	4583
421	3343	4579
422	3358	4581
423	3371	4579
424	3389	4585
425	3394	4573
426	3400	4563
427	3408	4555
428	3416	4547
429	3430	4547
430	3442	4545
431	3445	4530
432	3457	4527
433	3465	4519
434	3472	4509
435	3477	4497
436	3478	4482
437	3485	4472
438	3491	4462
439	3495	4448
440	3500	4437
441	3508	4429
442	3515	4420
443	3521	4410
444	3526	4398
445	3532	4388
446	3535	4373
447	3545	4368
448	3556	4363
449	3563	4355
450	3570	4346
451	3579	4340
452	3589	4334
453	3593	4322
454	3600	4312
455	3607	4303
456	3616	4296
457	3620	4284
458	3627	4275
459	3633	4265
460	3643	4260
461	3649	4249
462	3655	4239
463	3660	4228
464	3667	4219
465	3672	4208
466	3679	4199
467	3682	4185
468	3690	4178
469	3698	4170
470	3705	4161
471	3722	4164
472	3734	4160
473	3744	4155
474	3758	4154
475	3768	4148
476	3776	4140
477	3785	4133
478	3791	4124
479	3802	4118
480	3810	4111
481	3819	4104
482	3823	4092
483	3826	4079
484	3836	4074
485	3849	4071
486	3857	4063
487	3870	4061
488	3875	4050
489	3882	4040
490	3887	4029
491	3890	4016
492	3895	4006
493	3902	3997
494	3911	3990
495	3918	3981
496	3927	3974
497	3940	3972
498	3952	3968
499	3961	3961
500	3970	3955
501	3979	3947
502	3985	3938
503	3993	3929
504	4002	3922
505	4017	3922
506	4022	3911
507	4029	3902
508	4037	3895
509	4051	3892
510	4061	3886
511	4067	3877
512	4077	3870
513	4085	3862
514	4092	3853
515	4098	3844
516	4109	3839
517	4121	3835
518	4144	3840
519	4154	3834
520	4164	3828
521	4172	3820
522	4178	3810
523	4196	3811
524	4201	3801
525	4209	3793
526	4213	3781
527	4217	3770
528	4219	3757
529	4226	3747
530	4233	3739
531	4240	3730
532	4246	3720
533	4251	3709
534	4258	3701
535	4264	3691
536	4267	3679
537	4277	3673
538	4281	3662
539	4289	3653
540	4296	3645
541	4301	3635
542	4306	3624
543	4311	3613
544	4316	3603
545	4325	3596
546	4334	3589
547	4341	3581
548	4347	3571
549	4354	3562
550	4359	3552
551	4365	3542
552	4367	3530
553	4376	3523
554	4386	3517
555	4392	3507
556	4399	3499
557	4404	3488
558	4412	3480
559	4417	3470
560	4422	3460
561	4426	3450
562	4433	3441
563	4440	3432
564	4449	3426
565	4457	3417
566	4460	3406
567	4469	3399
568	4484	3396
569	4488	3385
570	4499	3380
571	4508	3373
572	4511	3362
573	4526	3359
574	4534	3351
575	4555	3353
576	4562	3344
577	4573	3339
578	4576	3327
579	4585	3320
580	4589	3310
581	4598	3302
582	4602	3292
583	4606	3281
584	4612	3272
585	4618	3262
586	4625	3254
587	4631	3244
588	4636	3235
589	4647	3229
590	4652	3220
591	4663	3214
592	4670	3205
593	4673	3194
594	4679	3185
595	4685	3175
596	4692	3167
597	4701	3160
598	4712	3154
599	4719	3146
600	4733	3142
601	4739	3133
602	4751	3128
603	4761	3121
604	4770	3114
605	4779	3107
606	4782	3096
607	4788	3087
608	4801	3082
609	4804	3071
610	4814	3065
611	4819	3055
612	4826	3047
613	4834	3039
614	4840	3030
615	4845	3020
616	4853	3012
617	4864	3006
618	4874	3000
619	4886	2995
620	4894	2987
621	4901	2978
622	4907	2969
623	4911	2959
624	4917	2950
625	4930	2945
626	4935	2935
627	4942	2927
628	4949	2919
629	4956	2911
630	4961	2901
631	4965	2891
632	4967	2880
633	4973	2871
634	4981	2863
635	4987	2854
636	4992	2845
637	4997	2835
638	5006	2828
639	5010	2818
640	5016	2809
641	5023	2801
642	5029	2792
643	5036	2784
644	5043	2775
645	5051	2768
646	5055	2758
647	5058	2747
648	5060	2737
649	5068	2729
650	5074	2720
651	5081	2712
652	5089	2704
653	5095	2695
654	5101	2686
655	5106	2677
656	5112	2669
657	5122	2662
658	5127	2653
659	5133	2644
660	5140	2636
661	5146	2627
662	5153	2619
663	5156	2609
664	5160	2599
665	5167	2591
666	5171	2581
667	5175	2572
668	5180	2563
669	5184	2553
670	5191	2545
671	5195	2536
672	5201	2527
673	5205	2517
674	5216	2511
675	5220	2502
676	5225	2493
677	5228	2483
678	5234	2474
679	5240	2466
680	5242	2455
681	5245	2445
682	5248	2435
683	5253	2426
684	5258	2418
685	5264	2409
686	5271	2401
687	5276	2392
688	5283	2384
689	5289	2376
690	5293	2367
691	5296	2357
692	5301	2348
693	5313	2342
694	5317	2333
695	5321	2324
696	5325	2315
697	5329	2305
698	5334	2296
699	5337	2287
700	5342	2278
701	5348	2270
702	5351	2260
703	5356	2251
704	5362	2244
705	5367	2235
706	5370	2225
707	5373	2216
708	5377	2207
709	5382	2198
710	5387	2189
711	5395	2182
712	5399	2173
713	5404	2164
714	5409	2156
715	5413	2147
716	5417	2138
717	5425	2131
718	5432	2123
719	5437	2114
720	5443	2106
721	5450	2098
722	5455	2090
723	5461	2082
724	5468	2074
725	5470	2064
726	5474	2055
727	5479	2047
728	5491	2041
729	5496	2032
730	5510	2027
731	5514	2018
732	5520	2010
733	5530	2004
734	5538	1996
735	5545	1989
736	5551	1980
737	5559	1973
738	5567	1966
739	5575	1958
740	5588	1953
741	5591	1944
742	5594	1935
743	5597	1925
744	5599	1916
745	5602	1907
746	5605	1898
747	5608	1889
748	5611	1880
749	5613	1871
750	5616	1862
751	5619	1853
752	5622	1844
753	5624	1835
754	5627	1826
755	5630	1817
756	5633	1808
757	5636	1799
758	5639	1790
759	5641	1781
760	5644	1772
761	5647	1763
762	5651	1755
763	5653	1746
764	5656	1737
765	5659	1728
766	5662	1720
767	5664	1711
768	5668	1702
769	5671	1693
770	5673	1685
771	5676	1676
772	5679	1667
773	5682	1659
774	5685	1650
775	5688	1641
776	5690	1633
777	5693	1624
778	5696	1615
779	5698	1607
780	5701	1598
781	5703	1590
782	5706	1581
783	5709	1573
784	5711	1564
785	5714	1555
786	5717	1547
787	5720	1539
788	5723	1530
789	5726	1522
790	5728	1513
791	5731	1505
792	5734	1496
793	5736	1488
794	5739	1480
795	5742	1471
796	5745	1463
797	5748	1455
798	5751	1446
799	5754	1438
800	5756	1430
801	5759	1421
802	5762	1413
803	5765	1405
804	5768	1397
805	5770	1388
806	5772	1380
807	5776	1372
808	5779	1364
809	5782	1356
810	5784	1348
811	5788	1340
812	5791	1332
813	5795	1324
814	5798	1316
815	5801	1308
816	5804	1300
817	5808	1292
818	5811	1284
819	5814	1276
820	5817	1268
821	5820	1260
822	5825	1252
823	5827	1244
824	5830	1236
825	5833	1228
826	5836	1220
827	5852	1215
828	5861	1209
829	5871	1202
830	5882	1196
831	5889	1189
832	5899	1182
833	5909	1176
834	5920	1169
835	5922	1161
836	5925	1153
837	5928	1146
838	5931	1138
839	5936	1130
840	5939	1122
841	5942	1115
842	5946	1107
843	5951	1100
844	5953	1092
845	5958	1084
846	5961	1076
847	5966	1069
848	5969	1061
849	5972	1053
850	5980	1047
851	5987	1040
852	5990	1032
853	5994	1024
854	5999	1017
855	6003	1009
856	6008	1002
857	6014	995
858	6017	987
859	6020	980
860	6022	972
861	6025	964
862	6028	957
863	6031	949
864	6034	941
865	6036	934
866	6039	926
867	6042	918
868	6046	911
869	6048	903
870	6051	896
871	6054	888
872	6056	881
873	6059	873
874	6063	866
875	6066	858
876	6069	851
877	6071	843
878	6074	836
879	6077	828
880	6080	821
881	6083	813
882	6085	806
883	6088	798
884	6091	791
885	6094	784
886	6096	776
887	6098	769
888	6101	761
889	6104	754
890	6106	747
891	6110	739
892	6112	732
893	6115	725
894	6118	717
895	6121	710
896	6124	703
897	6128	696
898	6130	688
899	6133	681
900	6135	674
901	6138	666
902	6142	659
903	6144	652
904	6147	645
905	6150	638
906	6152	630
907	6155	623
908	6158	616
909	6161	609
910	6163	602
911	6167	595
912	6170	587
913	6174	580
914	6177	573
915	6179	566
916	6182	559
917	6184	552
918	6187	545
919	6190	538
920	6193	531
921	6195	524
922	6198	517
923	6205	510
924	6208	503
925	6210	496
926	6213	489
927	6215	482
928	6218	475
929	6220	468
930	6223	461
931	6225	454
932	6228	447
933	6230	440
934	6233	433
935	6235	426
936	6238	419
937	6241	412
938	6244	405
939	6246	398
940	6249	391
941	6252	384
942	6254	378
943	6256	371
944	6259	364
945	6261	357
946	6264	350
947	6267	343
948	6269	336
949	6272	330
950	6274	323
951	6277	316
952	6280	309
953	6282	302
954	6285	296
955	6287	289
956	6290	282
957	6293	275
958	6296	269
959	6298	262
960	6301	255
961	6304	249
962	6306	242
963	6309	235
964	6311	228
965	6314	222
966	6317	215
967	6320	208
968	6322	202
969	6325	195
970	6328	189
971	6331	182
972	6333	175
973	6336	169
974	6338	162
975	6341	155
976	6344	149
977	6346	142
978	6349	136
979	6351	129
980	6354	123
981	6357	116
982	6359	109
983	6362	103
984	6365	96
985	6367	90
986	6370	83
987	6373	77
988	6375	70
989	6378	64
990	6381	57
991	6383	51
992	6386	45
993	6389	38
994	6391	32
995	6394	25
996	6396	19
997	6399	12
998	6401	6
999	6404	0
6449	6
999	6452	0
