iter	Logloss
0	0.6874604866
1	0.6819514944
2	0.6773628121
3	0.6723703413
4	0.6684574298
5	0.663219395
6	0.658390159
7	0.6539212127
8	0.6485777898
9	0.6440466126
10	0.6397249023
11	0.6359531915
12	0.6312044628
13	0.6270459873
14	0.6227338421
15	0.618475729
16	0.6154278428
17	0.6115878091
18	0.6074312125
19	0.6039204384
20	0.6004475836
21	0.5967677102
22	0.5934444257
23	0.5902824402
24	0.5868959
25	0.5836913265
26	0.5800604749
27	0.5766056687
28	0.5736448943
29	0.5700428521
30	0.5674726572
31	0.5652492011
32	0.561807547
33	0.5584326787
34	0.5556838192
35	0.5523375326
36	0.5494473585
37	0.5463419103
38	0.5437597019
39	0.5409919397
40	0.5385817343
41	0.5362180454
42	0.5338379589
43	0.5311734214
44	0.5287779623
45	0.5267413125
46	0.5237146634
47	0.5210270099
48	0.5188280362
49	0.5161209106
50	0.5141349906
51	0.5120176628
52	0.510548435
53	0.5086353359
54	0.506215793
55	0.503728952
56	0.501790858
57	0.50002397
58	0.4977641319
59	0.495881892
60	0.4940215153
61	0.4924806054
62	0.4912059841
63	0.4890831335
64	0.4870351535
65	0.4855223698
66	0.483844871
67	0.4822905811
68	0.480799433
69	0.4789625709
70	0.4772863815
71	0.4761230696
72	0.4746482621
73	0.4735494016
74	0.4721366541
75	0.4705117638
76	0.4691638092
77	0.4681704507
78	0.4667096779
79	0.4653653671
80	0.4642998994
81	0.462967716
82	0.4615766041
83	0.4603758001
84	0.458809684	085	0.457015485	086	0.455583586	087	0.4540280299
88	0.4525251816
89	0.451348389	090	0.449634790	091	0.448297291	092	0.447028692	093	0.445706893	094	0.444497794	095	0.443086795	96	0.4419064396	97	0.4406204797	0.4319065869
98	99	0.4385147699	0.429836679
100	0.4286857743
101	0102	0.43556102	0.103	0.43464103	0.104	0.4337178131
105	0.4329490662
106	0.4316842947
107	0.4308317384
108	0.4298928958
109	0.4291051324
110	0.4282896127
111	0.4273560937
112	0.4263782501
113	0.4254330592
114	0.4246461783
115	0.4234706822
116	0.4226503799
117	0.421659555
118	0.4206546954
119	0.4198038471
120	0.4193900948
121	0.4183939179
122	0.4176808542
123	0.4169661963
124	0.4162250348
125	0.4154520746
126	0.4148304498
127	0.4142219771
128	0.4133775626
129	0.4127634532
130	0.4121476928
131	0.4114247222
132	0.4105152301
133	0.4097233103
134	0.4092545011
135	0.4086513804
136	0.4078880139
137	0.4073722612
138	0.40138	0.397139	0.40139	0.396140	0.40140	0.39141	0.4048698198
142	0.4040860987
143	0.40143	0.393144	0.40144	0.393145	0.4145	0.3927146	0.4146	0.3920147	0.4011481556
148	0.4006277625
149	0.4001918337
150	0.3996521395
151	0.3990061746
152	0.3982412424
153	0.3975851714
154	0.3969542945
155	0.3965111918
156	0.3959233298
157	0.3953099037
158	0.39480383
159	0.3941469904
160	0.3934507797
161	0.3931558239
162	0.392418534
163	0.3918483791
164	0.3912846864
