iter	Logloss
0	0.6814510399
1	0.6718350349
2	0.6606545905
3	0.6505883662
4	0.6411218452
5	0.6325069164
6	0.6258306581
7	0.618008552
8	0.611026846
9	0.6032023837
10	0.5978080449
11	0.5932851903
12	0.5872374084
13	0.5813217106
14	0.5763214496
15	0.5699858464
16	0.5649472968
17	0.5613749957
18	0.557631642
19	0.5539418924
20	0.5489786512
21	0.5448587555
22	0.5408716237
23	0.536530923
24	0.5326943175
25	0.529152194
26	0.5250478856
27	0.5218369017
28	0.5190758652
29	0.5165712488
30	0.5134140502
31	0.5108203053
32	0.5087249914
33	0.5068345781
34	0.504172956
35	0.5017094375
36	0.4991718793
37	0.4971666456
38	0.4950628585
39	0.4932022604
40	0.4911713349
41	0.4893052088
42	0.4878963706
43	0.4864342908
44	0.4851862646
45	0.4834158826
46	0.4819208158
47	0.4801581368
48	0.4783148932
49	0.4765431971
50	50	0.4754854357
51	0.4739927704
52	0.4726548906
53	0.4713824413
54	0.4700276149
55	0.4683855109
56	0.4669050346
57	0.4659789042
58	0.4650589816
59	0.4640780692
60	0.4630203077
61	0.4619835257
62	0.4609176987
63	0.459861795
64	0.4588575922
65	0.4579290604
66	0.4571069209
67	0.4560767997
68	0.4547863162
69	0.4537720995
70	0.4531477013
71	0.4525042267
72	0.4518552694
73	0.4511673438
74	0.4504730746
75	0.4498563793
76	0.4490875267
77	0.4485466836
78	0.4479759347
79	0.4471754996
80	0.4466149005
81	0.4457858283
82	0.4449906947
83	0.444411835
84	0.4437030659
85	0.4431289186
86	0.4426013519
87	0.4418991078
88	0.4413153543
89	0.4406489066
90	0.4400492486
91	0.4395101727
92	0.4389305426
93	0.4383481032
94	0.4378077586
95	0.437097313
96	0.43664655
97	0.4360534623
98	0.4356690359
99	0.4351896358
100	0.4347544148
101	0.4341824878
102	0.433619759
103	0.4331320668
104	0.4325037265
105	0.4321783416
106	0.431695543
107	0.4311574187
108	0.4307186181
109	0.430312442
110	0.4299652621
111	0.4294070192
112	0.4290451582
113	0.4286574694
114	0.428302088
115	0.4279960513
116	0.4277322907
117	0.4273710187
118	0.4269699629
119	0.4265821835
120	0.4262780499
121	0.4260716088
122	0.4257554222
123	0.4253061998
124	0.4248524916
125	0.424525113
126	0.424175169
127	0.4238815478
128	0.4236520429
129	0.4234543923
130	0.423138976
131	0.422860353
132	0.4224727548
133	0.4222061395
134	0.4219687504
135	0.4217529297
136	0.4214888518
137	0.4212658265
138	0.4210450669
139	0.4207653111
140	0.4204030876
141	0.4200610732
142	0.4198682257
143	0.419602426
144	0.4192208543
145	0.4189614435
146	0.4186435351
147	0.4183895165
148	0.4181267527
149	0.4179145116
150	0.4176239716
151	0.4174379209
152	0.4171544948
153	0.4169172416
154	0.4166604136
155	0.4164802081
156	0.4162800654
157	0.4160189781
158	0.4158456147
159	0.4156160645
160	0.4153850643
161	0.4151711921
162	0.4149739946
163	0.4146707672
164	0.414509638
165	0.4142304713
166	0.4139017333
167	0.4137193981
168	0.4134775684
169	0.4133394577
170	0.4131378196
171	0.4129408487
172	0.4127354045
173	0.4125161854
174	0.4123163599
175	0.4120541851
176	0.4119078276
177	0.4117702606
178	0.4114944922
179	0.4112809825
180	0.4111217564
181	0.4109976924
182	0.4108270477
183	0.4106997212
184	0.4105081424
185	0.4103029247
186	0.4100448733
187	0.4097886344
188	0.4096608095
189	0.4094140861
190	0.4091329256
191	0.4089147034
192	0.4086750486
193	0.4085020024
194	0.4084198066
195	0.4082840068
196	0.4081067012
197	0.4079361472
198	0.4077269873
199	0.4076002046
200	0.4074757327
201	0.4072631745
202	0.4071111077
203	0.4070153183
204	0.4068457611
205	0.4066789226
206	0.406534876
207	0.4064057824
208	0.4062484594
209	0.406018728
210	0.4059300072
211	0.4057925762
212	0.4056507499
213	0.4055289967
214	0.405388122
215	0.4052351942
216	0.4050753338
217	0.404903511
218	0.4047195899
219	0.4045773105
220	0.4044051705
221	0.4043135045
222	0.4041641111
223	0.4040171192
224	0.4037795941
225	0.4036318773
226	0.403504007
227	0.4034199987
228	0.4032059905
229	0.4030397411
230	0.4028518779
231	0.4027004454
232	0.4026119966
233	0.4024978105
234	0.4023696684
235	0.4022558449
236	0.4021102577
237	0.4019808921
238	0.4018187661
239	0.4017168596
240	0.4015967377
241	0.4014019871
242	0.4012289861
243	0.4010378605
244	0.4009178292
245	0.4008015588
246	0.4006755464
247	0.4004622178
248	0.4003321273
249	0.4001636123
250	0.40002745
251	0.3997653205
252	0.3996679905
253	0.399514655
254	0.3993237105
255	0.399180253
256	0.3990649795
257	0.3989434982
258	0.3987644708
259	0.3986687267
260	0.3985665483
261	0.3984679043
262	0.3983977161
263	0.3982903269
264	0.3981900063
265	0.3980808046
266	0.397944461
267	0.3978554231
268	0.3977612649
269	0.397628365
270	0.3974374206
271	0.3973924712
272	0.3973070582
273	0.3972083689
274	0.3971059639
275	0.3970069574
276	0.3968738763
277	0.3967835243
278	0.3966758179
279	0.3965502585
280	0.396455466
281	0.3963430018
282	0.3961960099
283	0.3961395513
284	0.3959697222
285	0.3958668642
286	0.3957911932
287	0.3956285235
288	0.3954326853
289	0.3952777186
290	0.3950932084
291	0.3949983253
292	0.3949069764
293	0.394774575
294	0.394537503
295	0.394421142
296	0.3942380819
297	0.3941177334
298	0.3940173222
299	0.3938881379
300	0.3937702363
301	0.3936772109
302	0.3935787028
303	0.3934756635
304	0.3933988145
305	0.393302572
306	0.3931954546
307	0.3931049214
308	0.3929569327
309	0.3928866086
310	0.3928034159
311	0.3926271072
312	0.392504765
313	0.3923606278
314	0.3922342982
315	0.3920648316
316	0.3919216912
317	0.3918186972
318	0.3917383139
319	0.3915696176
320	0.3914451458
321	0.3913389346
322	0.3912128769
323	0.3911432324
324	0.3910789348
325	0.3909641144
326	0.3908260943
327	0.3907269518
328	0.3906085971
329	0.390545976
330	0.3904608349
331	0.3903198695
332	0.3902403924
333	0.3901771823
334	0.3900535261
335	0.3898690159
336	0.3897711875
337	0.389681923
338	0.3895651542
339	0.3894253216
340	0.3893298494
341	0.3891746561
342	0.3890719793
343	0.3889203656
344	0.3887664863
345	0.3886950747
346	0.388551889
347	0.3884805228
348	0.388430725
349	0.3882779785
350	0.388164744
351	0.3880080554
352	0.3879057411
353	0.3878098157
354	0.3877439775
355	0.3876608754
356	0.3875437894
357	0.3874069021
358	0.3872645774
359	0.3871834691
360	0.3871406946
361	0.3870514754
362	0.3869129116
363	0.3867618869
364	0.3866529571
365	0.3865612458
366	0.3864645048
367	0.3864032884
368	0.386223672
369	0.386092358
370	0.3860241183
371	0.3859451849
372	0.3858015461
373	0.385741825
374	0.3856605807
375	0.385569821
376	0.3854806471
377	0.3853788765
378	0.3852655061
379	0.3851762869
380	0.3850539901
381	0.3849729723
382	0.3848675768
383	0.3846967509
384	0.3846116551
385	0.3844562805
386	0.3843443148
387	0.3843112371
388	0.384208379
389	0.384167553
390	0.3840931055
391	0.3839425793
392	0.3838873894
393	0.3837819485
394	0.383689195
395	0.3835840714
396	0.38352213
397	0.3834148767
398	0.3832865533
399	0.3832207604
400	0.3831101087
401	0.3829322594
402	0.3828067907
403	0.3827518273
404	0.3826395444
405	0.3825376379
406	0.3823487325
407	0.3822646789
408	0.3821780425
409	0.3820637658
410	0.3818966555
411	0.3818427343
412	0.3817751289
413	0.3817468543
414	0.3816525148
415	0.3815755299
416	0.381432027
417	0.381338322
418	0.3812391795
419	0.381068127
420	0.3809655861
421	0.3808993401
422	0.3808286535
423	0.3807397515
424	0.3806464543
425	0.3805236137
426	0.3803953356
427	0.3803114633
428	0.380186493
429	0.3800940793
430	0.38003207
431	0.3799633771
432	0.3798950467
433	0.37983451
434	0.379763914
435	0.3796669918
436	0.3795826663
437	0.379486152
438	0.3794385518
439	0.3794003765
440	0.3793033637
441	0.3791751309
442	0.3791163161
443	0.379008587
444	0.3789193225
445	0.3788029388
446	0.3787343366
447	0.3786423987
448	0.3785770589
449	0.3784830593
450	0.3783962417
451	0.3783048702
452	0.3782171916
453	0.3780367596
454	0.3779233891
455	0.3778317911
456	0.3776723611
457	0.3775489314
458	0.3774748464
459	0.3772870285
460	0.3771229088
461	0.3770552128
462	0.3769272519
463	0.3768454639
464	0.3767739164
465	0.3766705146
466	0.376545499
467	0.3764878622
468	0.3763951993
469	0.3763105567
